,Year,Average Total Employment,county,state
5485,2011,2413.666667,Haskell County,KS
5486,2012,2462.166667,Haskell County,KS
5487,2013,2388.666667,Haskell County,KS
5488,2014,2355.5,Haskell County,KS
5489,2015,2358.333333,Haskell County,KS
5490,2010,7508.916667,Jackson County,KS
5491,2011,7418.666667,Jackson County,KS
5492,2012,7345.166667,Jackson County,KS
5493,2013,7285.333333,Jackson County,KS
5494,2014,7386.416667,Jackson County,KS
5495,2015,7239.666667,Jackson County,KS
5496,2010,307189.8333,Johnson County,KS
5497,2011,308303.5833,Johnson County,KS
5498,2012,310262.8333,Johnson County,KS
5499,2013,314173.5833,Johnson County,KS
5500,2014,320747.0833,Johnson County,KS
5501,2015,324702.75,Johnson County,KS
5502,2010,3861.416667,Kingman County,KS
5503,2011,3822.333333,Kingman County,KS
5504,2012,3767.583333,Kingman County,KS
5505,2013,3715.833333,Kingman County,KS
5506,2014,3603.083333,Kingman County,KS
5507,2015,3649,Kingman County,KS
5508,2010,11277.58333,Labette County,KS
5509,2011,11037.5,Labette County,KS
5510,2012,10711.58333,Labette County,KS
5511,2013,10727.83333,Labette County,KS
5512,2014,10772.33333,Labette County,KS
5513,2015,10753.66667,Labette County,KS
5514,2010,1881.333333,Lincoln County,KS
5515,2011,1876.666667,Lincoln County,KS
5516,2012,1846.583333,Lincoln County,KS
5517,2013,1777.083333,Lincoln County,KS
5518,2014,1771.583333,Lincoln County,KS
5519,2015,1797.333333,Lincoln County,KS
5520,2010,2224.083333,Osborne County,KS
5521,2011,2260.333333,Osborne County,KS
5522,2012,2172,Osborne County,KS
5523,2013,2121.25,Osborne County,KS
5524,2014,2056.666667,Osborne County,KS
5525,2015,2090.416667,Osborne County,KS
5526,2010,1510.75,Rawlins County,KS
5527,2011,1518.583333,Rawlins County,KS
5528,2012,1568.416667,Rawlins County,KS
5529,2013,1549.333333,Rawlins County,KS
5530,2014,1515.666667,Rawlins County,KS
5531,2015,1535.5,Rawlins County,KS
5532,2010,3740.416667,Russell County,KS
5533,2011,3783.75,Russell County,KS
5534,2012,3808,Russell County,KS
5535,2013,3849.083333,Russell County,KS
5536,2014,3835.75,Russell County,KS
5537,2015,3733.333333,Russell County,KS
5538,2010,93584.25,Shawnee County,KS
5539,2011,92931.58333,Shawnee County,KS
5540,2012,91978.33333,Shawnee County,KS
5541,2013,92034.41667,Shawnee County,KS
5542,2014,91848.91667,Shawnee County,KS
5543,2015,91235.41667,Shawnee County,KS
5544,2010,3153.25,Sherman County,KS
5545,2011,3204.583333,Sherman County,KS
5546,2012,3216.75,Sherman County,KS
5547,2013,3128.5,Sherman County,KS
5548,2014,3089.666667,Sherman County,KS
